STATION,STATION_NAME,DATE,HPCP
COOP:048332,SODA SPRINGS 1 E CA US,19611129 09:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611129 10:00,0.22
COOP:048332,SODA SPRINGS 1 E CA US,19611129 11:00,0.13
COOP:048332,SODA SPRINGS 1 E CA US,19611129 12:00,0.16
COOP:048332,SODA SPRINGS 1 E CA US,19611129 13:00,0.09
COOP:048332,SODA SPRINGS 1 E CA US,19611129 14:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611129 15:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611129 16:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611129 17:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611129 18:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611129 19:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611129 20:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611129 21:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611129 22:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611129 23:00,0.14
COOP:048332,SODA SPRINGS 1 E CA US,19611130 00:00,0.16
COOP:048332,SODA SPRINGS 1 E CA US,19611130 01:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611130 02:00,0.13
COOP:048332,SODA SPRINGS 1 E CA US,19611130 03:00,0.15
COOP:048332,SODA SPRINGS 1 E CA US,19611130 04:00,0.17
COOP:048332,SODA SPRINGS 1 E CA US,19611130 05:00,0.20
COOP:048332,SODA SPRINGS 1 E CA US,19611130 06:00,0.20
COOP:048332,SODA SPRINGS 1 E CA US,19611130 07:00,0.23
COOP:048332,SODA SPRINGS 1 E CA US,19611130 08:00,0.14
COOP:048332,SODA SPRINGS 1 E CA US,19611130 09:00,0.15
COOP:048332,SODA SPRINGS 1 E CA US,19611130 10:00,0.11
COOP:048332,SODA SPRINGS 1 E CA US,19611130 11:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611130 12:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611130 13:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611130 14:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611130 15:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611130 16:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611130 17:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611130 18:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611130 19:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611130 20:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611130 21:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611130 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611130 23:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 00:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 01:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 02:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611201 03:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611201 04:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611201 05:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611201 06:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611201 07:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611201 08:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611201 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611201 10:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 11:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611201 12:00,0.11
COOP:048332,SODA SPRINGS 1 E CA US,19611201 13:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611201 14:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611201 15:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611201 16:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 17:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 18:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611201 19:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611201 23:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611202 00:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611202 01:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611202 02:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611202 03:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611202 04:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611202 05:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 07:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611202 08:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611202 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 10:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611202 11:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611202 12:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 15:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611202 19:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 21:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611202 23:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 07:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 08:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 10:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611210 11:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 12:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 15:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611210 16:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611214 15:00,999.99
COOP:048332,SODA SPRINGS 1 E CA US,19611214 18:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611216 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611216 23:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611217 00:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611217 01:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611217 02:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611217 03:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611217 04:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611217 05:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611217 06:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611217 07:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611217 08:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611217 09:00,999.99
COOP:048332,SODA SPRINGS 1 E CA US,19611218 03:00,0.44
COOP:048332,SODA SPRINGS 1 E CA US,19611218 10:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 12:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 13:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611218 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611218 15:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611218 16:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611218 17:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 18:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 19:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 20:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 21:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611218 22:00,0.01
